campaign_id,click_rate
1889,0.822839536
1890,0.823054965
1891,0.823311375
1892,0.823311375
1893,0.820783021
1894,0.466794615
1895,0.822839536
1896,0.125696805
1897,0.822839536
1898,0.466794615
1899,0.466906979
1900,0.210529527
1901,0.666543194
1902,0.822839536
1903,0.822839536
1904,0.822839536
1905,0.822839536
1906,0.822839536
1907,0.822837405
1908,0.820783021
1909,0.822837405
1910,0.125707534
1911,0.502274153
1912,0.820783021
1913,0.82078089
1914,0.279235848
1915,0.822839536
1916,0.822839536
1917,0.823054965
1918,0.822837405
1919,0.822837405
1920,0.820783021
1921,0.716353023
1922,0.822933152
1923,0.666543194
1924,0.822839536
1925,0.822839536
1926,0.822839536
1927,0.822839536
1928,0.822839536
1929,0.822839536
1930,0.822839536
1931,0.822461313
1932,0.822839536
1933,0.822839536
1934,0.822837405
1935,0.82078089
1936,0.822839536
1937,0.820783021
1938,0.820404798
1939,0.822837405
1940,0.822839536
1941,0.822839536
1942,0.82078089
1943,0.822839536
1944,0.822461313
1945,0.822839536
1946,0.466906979
1947,0.822839536
1948,0.822837405
1949,0.822839536
1950,0.822837405
1951,0.822837405
1952,0.822839536
1953,0.822837405
1954,0.822839536
1955,0.822839536
1956,0.820783021
1957,0.822837405
1958,0.822461313
1959,0.822459182
1960,0.822933152
1961,0.820402668
1962,0.822839536
1963,0.822839536
1964,0.822837405
1965,0.822839536
1966,0.820783021
1967,0.820783021
1968,0.822837405
1969,0.822837405
1970,0.82078089
1971,0.823311375
1972,0.125770555
1973,0.467077156
1974,0.822837405
1975,0.822837405
1976,0.822837405
1977,0.820783021
1978,0.125770555
1979,0.822837405
1980,0.822839536
1981,0.822839536
1982,0.822839536
1983,0.822839536
1984,0.822837405
1985,0.822839536
1986,0.822839536
1987,0.822839536
1988,0.822839536
1989,0.825297723
1990,0.825297723
1991,0.825297723
1992,0.820783021
1993,0.820783021
1994,0.822837405
1995,0.822839536
1996,0.822839536
1997,0.820783021
1998,0.822839536
1999,0.822839536
2000,0.822839536
2001,0.820783021
2002,0.822839536
2003,0.125712946
2004,0.665765448
2005,0.822837405
2006,0.822839536
2007,0.822837405
2008,0.822839536
2009,0.820783021
2010,0.822837405
2011,0.820783021
2012,0.042055941
2013,0.822839536
2014,0.820783021
2015,0.822837405
2016,0.822839536
2017,0.665058381
2018,0.666543194
2019,0.822839536
2020,0.822839536
2021,0.820783021
2022,0.822839536
2023,0.822839536
2024,0.822461313
2025,0.125696805
2026,0.822839536
2027,0.822839536
2028,0.822839536
2029,0.822461313
2030,0.820526611
2031,0.822839536
2032,0.820783021
2033,0.823311375
2034,0.822837405
2035,0.822837405
2036,0.820526611
2037,0.822837405
2038,0.820783021
2039,0.820783021
2040,0.825297723
2041,0.823311375
2042,0.822837405
2043,0.820404798
2044,0.125696805
2045,0.822837405
2046,0.822461313
2047,0.822839536
2048,0.822461313
2049,0.822839536
2050,0.824917369
2051,0.822839536
2052,0.822839536
2053,0.822839536
2054,0.822839536
2055,0.822837405
2056,0.822839536
2057,0.822839536
2058,0.822837405
2059,0.822839536
2060,0.822461313
2061,0.823054965
2062,0.823311375
2063,0.822839536
2064,0.822839536
2065,0.822839536
2066,0.822837405
2067,0.823311375
2068,0.822839536
2069,0.822839536
2070,0.822177495
2071,0.822839536
2072,0.822837405
2073,0.820783021
2074,0.822839536
2075,0.822461313
2076,0.822839536
2077,0.822837405
2078,0.823054965
2079,0.822839536
2080,0.820526611
2081,0.822837405
2082,0.822839536
2083,0.822839536
2084,0.823311375
2085,0.822839536
2086,0.822839536
2087,0.822839536
2088,0.822837405
2089,0.822839536
2090,0.822839536
2091,0.822461313
2092,0.822839536
2093,0.822461313
2094,0.822839536
2095,0.379659283
2096,0.822839536
2097,0.210662421
2098,0.822839536
2099,0.210810785
2100,0.125770555
2101,0.822837405
2102,0.822433905
2103,0.502274153
2104,0.822179626
2105,0.823311375
2106,0.822837405
2107,0.822837405
2108,0.822837405
2109,0.822459182
2110,0.823054965
2111,0.822839536
2112,0.822837405
2113,0.822839536
2114,0.125770555
2115,0.822839536
2116,0.822839536
2117,0.822839536
2118,0.822839536
2119,0.822461313
2120,0.822839536
2121,0.822837405
2122,0.379822742
2123,0.822839536
2124,0.822436036
2125,0.822839536
2126,0.822839536
2127,0.822839536
2128,0.822837405
2129,0.820783021
2130,0.822837405
2131,0.822839536
2132,0.822839536
2133,0.822839536
2134,0.822839536
2135,0.822839536
2136,0.822837405
2137,0.822839536
2138,0.822459182
2139,0.822839536
2140,0.822837405
2141,0.822837405
2142,0.822436036
2143,0.822839536
2144,0.822839536
2145,0.822837405
2146,0.822839536
2147,0.822461313
2148,0.822837405
2149,0.822839536
2150,0.822839536
2151,0.823311375
2152,0.822837405
2153,0.822839536
2154,0.822837405
2155,0.820783021
2156,0.822837405
2157,0.822839536
2158,0.822839536
2159,0.820783021
2160,0.820783021
2161,0.822839536
2162,0.823054965
2163,0.822839536
2164,0.822837405
2165,0.820783021
2166,0.822839536
2167,0.822839536
2168,0.820783021
2169,0.822839536
2170,0.822837405
2171,0.822461313
2172,0.671644399
2173,0.822837405
2174,0.820783021
2175,0.822839536
2176,0.820783021
2177,0.822839536
2178,0.822839536
2179,0.822839536
2180,0.822839536
2181,0.823311375
2182,0.822837405
2183,0.823311375
2184,0.823311375
2185,0.822839536
2186,0.666543194
2187,0.822839536
